# LMFDB BJT fixture generated by `clgrp build-bjt-fixture`
# seed=20260217
# scan_limit=40000
# generated_unix=1771317392
# r	m	k	line	delta	discriminant	class_number	invariant_factors_csv
3	8	1	23149	1	-268663947	3872	1936,2
3	8	1	23204	2	-268664483	6533	6533
3	8	1	23219	1	-268664635	2768	692,2,2
3	8	1	23272	1	-268665163	1940	1940
3	8	1	23296	1	-268665395	6340	3170,2
3	8	1	23399	1	-268666411	5016	1254,2,2
3	8	1	23459	1	-268666987	2544	1272,2
3	8	1	23537	1	-268667779	3456	1728,2
3	8	1	23591	1	-268668307	2660	1330,2
3	8	1	23599	2	-268668395	4340	2170,2
3	8	1	23600	1	-268668403	2880	1440,2
3	8	1	23630	1	-268668691	2590	2590
3	8	1	23642	1	-268668811	3370	3370
3	8	1	23653	1	-268668931	3712	928,4
3	8	1	23662	1	-268669011	3216	804,2,2
3	8	1	23687	1	-268669267	3303	3303
3	8	1	23815	1	-268670523	2472	1236,2
3	8	1	23881	1	-268671171	6464	808,2,2,2
3	8	1	23917	1	-268671539	5453	5453
3	8	1	23971	1	-268672091	5368	5368
3	8	1	24041	1	-268672763	4141	4141
3	8	1	24089	1	-268673227	2354	2354
3	8	1	24142	1	-268673755	3264	816,2,2
3	8	1	24158	1	-268673923	2160	2160
3	8	1	24164	1	-268673979	4968	2484,2
3	8	1	24233	1	-268674691	4184	4184
3	8	1	24333	1	-268675707	3720	3720
3	8	1	24399	1	-268676331	5408	676,2,2,2
3	8	1	24569	1	-268677987	3408	852,2,2
3	8	1	24598	1	-268678291	3576	1788,2
3	8	1	24600	1	-268678307	4342	4342
3	8	1	24661	1	-268678931	7608	1902,2,2
3	8	1	24662	1	-268678939	2992	748,4
3	8	1	24672	1	-268679027	3414	3414
3	8	1	24701	1	-268679315	3678	3678
3	8	1	24724	1	-268679531	6140	6140
3	8	1	24748	1	-268679755	2060	1030,2
3	8	1	24792	1	-268680179	6937	6937
3	8	1	24803	1	-268680299	8985	8985
3	8	1	24818	1	-268680451	3102	3102
3	8	1	24932	1	-268681555	2992	748,4
3	8	1	24934	1	-268681579	3890	3890
3	8	1	24969	1	-268681915	3500	1750,2
3	8	1	24984	1	-268682059	3672	306,6,2
3	8	1	25035	2	-268682579	5830	5830
3	8	1	25039	1	-268682611	2772	1386,2
3	8	1	25093	1	-268683171	3400	1700,2
3	8	1	25110	1	-268683339	2728	2728
3	8	1	25195	1	-268684187	3692	1846,2
3	8	1	25247	1	-268684707	1688	844,2
3	8	1	25290	1	-268685123	4122	4122
3	8	1	25299	2	-268685227	2935	2935
3	8	1	25336	2	-268685603	5367	5367
3	8	1	25375	1	-268685987	5190	5190
3	8	1	25378	1	-268686011	9504	2376,2,2
3	8	1	25456	1	-268686771	3584	896,2,2
3	8	1	25467	1	-268686867	1800	1800
3	8	1	25500	1	-268687203	2468	1234,2
3	8	1	25528	3	-268687483	1879	1879
3	8	1	25531	1	-268687507	2504	626,2,2
3	8	1	25547	3	-268687691	8610	8610
3	8	1	25593	1	-268688147	4564	2282,2
3	8	1	25644	2	-268688627	3298	3298
3	8	1	25660	1	-268688787	4212	2106,2
3	8	1	25745	1	-268689619	2172	2172
3	8	1	25807	2	-268690235	4264	2132,2
3	8	1	25819	1	-268690339	2534	2534
3	8	1	25944	3	-268691587	2584	1292,2
3	8	1	25953	3	-268691683	2356	1178,2
3	8	1	25960	1	-268691747	4369	4369
3	8	1	25974	1	-268691891	8812	4406,2
3	8	1	26057	1	-268692707	7089	7089
3	8	1	26073	1	-268692851	4328	2164,2
3	8	1	26077	1	-268692899	7753	7753
3	8	1	26106	1	-268693195	2848	712,4
3	8	1	26117	2	-268693307	3406	3406
3	8	1	26121	1	-268693339	3884	1942,2
3	8	1	26153	1	-268693643	4146	4146
3	8	1	26161	1	-268693723	1800	1800
3	8	1	26261	1	-268694707	2264	1132,2
3	8	1	26380	2	-268695899	9922	9922
3	8	1	26394	1	-268696019	5228	5228
3	8	1	26396	2	-268696043	4160	520,4,2
3	8	1	26409	2	-268696187	3360	3360
3	8	1	26444	1	-268696515	4404	2202,2
3	8	1	26500	1	-268697091	4560	1140,2,2
3	8	1	26502	1	-268697107	2288	1144,2
3	8	1	26504	2	-268697139	4662	4662
3	8	1	26516	1	-268697251	2433	2433
3	8	1	26562	2	-268697683	1571	1571
3	8	1	26569	2	-268697771	7308	7308
3	8	1	26642	3	-268698491	7768	3884,2
3	8	1	26654	1	-268698611	8070	8070
3	8	1	26690	1	-268698971	6768	3384,2
3	8	1	26707	2	-268699139	5338	5338
3	8	1	26714	3	-268699211	7888	3944,2
3	8	1	26743	2	-268699483	2688	2688
3	8	1	26756	1	-268699603	2276	1138,2
3	8	1	26763	1	-268699667	5177	5177
3	8	1	26777	1	-268699835	6198	6198
3	8	1	26785	1	-268699915	2720	680,2,2
3	8	1	26906	1	-268701091	3312	1656,2
3	8	1	27091	1	-268702891	3113	3113
3	8	1	27105	1	-268703011	3285	1095,3
3	8	1	27161	1	-268703563	2217	2217
3	8	1	27171	3	-268703683	4140	4140
3	8	1	27175	1	-268703715	3448	862,2,2
3	8	1	27201	2	-268704003	2832	2832
3	8	1	27276	1	-268704739	3503	3503
3	8	1	27297	1	-268704947	3936	984,2,2
3	8	1	27303	1	-268705003	2008	2008
3	8	1	27435	1	-268706323	1605	1605
3	8	1	27581	1	-268707755	6376	3188,2
3	8	1	27639	1	-268708323	2352	588,2,2
3	8	1	27647	1	-268708395	2980	1490,2
3	8	1	27656	1	-268708507	1772	1772
3	8	1	27727	1	-268709195	9984	2496,2,2
3	8	1	27749	3	-268709435	3014	3014
3	8	1	27759	1	-268709547	2916	2916
3	8	1	27810	1	-268710027	3424	428,2,2,2
3	8	1	27816	2	-268710083	5105	5105
3	8	1	27886	1	-268710779	5717	5717
3	8	1	27916	1	-268711067	3939	3939
3	8	1	27922	1	-268711131	6752	844,2,2,2
3	8	1	28013	1	-268712011	4055	4055
3	8	1	28040	1	-268712299	2145	2145
3	8	1	28151	1	-268713419	5772	5772
3	8	1	28208	2	-268713971	4040	4040
3	8	1	28285	1	-268714731	5776	2888,2
3	8	1	28310	1	-268714963	3164	3164
3	8	1	28351	2	-268715371	2660	1330,2
3	8	1	28397	1	-268715819	4779	4779
3	8	1	28415	1	-268716003	3820	1910,2
3	8	1	28417	1	-268716019	4000	500,4,2
3	8	1	28425	1	-268716099	3364	3364
3	8	1	28476	1	-268716595	2904	726,2,2
3	8	1	28485	1	-268716691	3974	3974
3	8	1	28547	1	-268717307	5002	5002
3	8	1	28576	1	-268717587	3134	3134
3	8	1	28580	1	-268717619	6073	6073
3	8	1	28649	1	-268718323	2292	1146,2
3	8	1	28657	1	-268718395	2968	742,2,2
3	8	1	28661	2	-268718435	6794	6794
3	8	1	28671	1	-268718531	4880	1220,2,2
3	8	1	28683	2	-268718651	6850	6850
3	8	1	28700	1	-268718811	4078	4078
3	8	1	28723	1	-268719043	2582	2582
3	8	1	28744	1	-268719243	1848	924,2
3	8	1	28775	1	-268719547	2207	2207
3	8	1	28839	1	-268720179	3944	986,2,2
3	8	1	28881	1	-268720579	3485	3485
3	8	1	28900	1	-268720771	2204	1102,2
3	8	1	28938	1	-268721155	4560	1140,4
3	8	1	29024	2	-268722011	9429	9429
3	8	1	29043	1	-268722195	3472	434,2,2,2
3	8	1	29065	1	-268722411	4722	4722
3	8	1	29108	3	-268722827	5236	2618,2
3	8	1	29172	1	-268723451	9500	9500
3	8	1	29194	1	-268723667	4228	4228
3	8	1	29218	1	-268723915	3202	3202
3	8	1	29231	1	-268724059	2887	2887
3	8	1	29234	1	-268724091	5024	5024
3	8	1	29298	1	-268724715	3728	932,2,2
3	8	1	29333	1	-268725043	2352	588,2,2
3	8	1	29436	1	-268726051	3936	984,4
3	8	1	29459	1	-268726267	3712	928,4
3	8	1	29474	1	-268726411	3080	1540,2
3	8	1	29497	2	-268726643	5100	5100
3	8	1	29498	1	-268726651	3400	850,2,2
3	8	1	29621	1	-268727899	3424	856,2,2
3	8	1	29674	1	-268728411	4608	1152,2,2
3	8	1	29677	2	-268728443	3644	3644
3	8	1	29692	2	-268728587	4602	4602
3	8	1	29722	1	-268728899	7374	7374
3	8	1	29765	1	-268729323	2112	264,4,2
3	8	1	29786	1	-268729547	3171	3171
3	8	1	30020	1	-268731851	7616	1904,2,2
3	8	1	30038	1	-268732019	8460	8460
3	8	1	30050	2	-268732147	2286	2286
3	8	1	30070	1	-268732355	5076	2538,2
3	8	1	30149	1	-268733139	4794	4794
3	8	1	30195	1	-268733579	5532	2766,2
3	8	1	30204	1	-268733667	3376	844,4
3	8	1	30218	1	-268733811	5880	2940,2
3	8	1	30228	2	-268733915	3584	1792,2
3	8	1	30259	1	-268734211	2181	2181
3	8	1	30267	1	-268734291	4432	2216,2
3	8	1	30396	1	-268735539	5352	2676,2
3	8	1	30471	3	-268736291	7398	2466,3
3	8	1	30500	1	-268736595	3840	480,2,2,2
3	8	1	30530	2	-268736883	2932	1466,2
3	8	1	30608	1	-268737635	5648	706,2,2,2
3	8	1	30632	1	-268737891	4152	2076,2
3	8	1	30643	1	-268737987	2616	654,2,2
3	8	1	30734	1	-268738915	2304	576,2,2
3	8	1	30795	1	-268739507	3961	3961
3	8	1	30806	1	-268739611	3928	1964,2
3	8	1	30846	1	-268739987	6042	6042
3	8	1	30904	1	-268740571	3192	3192
3	8	1	30922	1	-268740731	9344	1168,2,2,2
3	8	1	30940	1	-268740931	3194	3194
3	8	1	31042	1	-268741931	11155	11155
3	8	1	31055	1	-268742067	3936	492,4,2
3	8	1	31069	1	-268742203	1571	1571
3	8	1	31134	1	-268742819	6016	6016
3	8	1	31263	1	-268744107	2352	2352
3	8	1	31278	1	-268744243	3073	3073
3	8	1	31287	2	-268744355	6520	1630,2,2
3	8	1	31310	1	-268744579	3846	3846
3	8	1	31410	1	-268745587	2944	1472,2
3	8	1	31441	1	-268745899	2776	2776
3	8	1	31571	1	-268747195	3352	3352
3	8	1	31597	1	-268747435	2420	1210,2
3	8	1	31603	1	-268747499	6189	6189
3	8	1	31606	1	-268747539	3876	1938,2
3	8	1	31648	1	-268747939	3144	1572,2
3	8	1	31725	1	-268748707	2663	2663
3	8	1	31745	1	-268748899	3705	3705
3	8	1	31769	1	-268749131	7236	7236
3	8	1	31780	1	-268749227	5428	5428
3	8	1	31807	1	-268749507	3264	816,4
3	8	1	31850	1	-268749931	2544	636,2,2
3	8	1	31966	1	-268751059	2958	2958
3	8	1	32049	1	-268751859	6782	6782
3	8	1	32130	1	-268752691	2259	2259
3	8	1	32188	1	-268753251	4480	280,4,2,2
3	8	1	32211	1	-268753467	3108	3108
3	8	1	32217	1	-268753531	3188	3188
3	8	1	32222	1	-268753579	4940	4940
3	8	1	32287	2	-268754219	7750	7750
3	8	1	32347	1	-268754811	4516	2258,2
3	8	1	32360	1	-268754947	2664	2664
3	8	1	32364	1	-268754987	4728	2364,2
3	8	1	32374	2	-268755083	3850	3850
3	8	1	32377	1	-268755107	5655	5655
3	8	1	32401	2	-268755355	2312	1156,2
3	8	1	32416	2	-268755515	5664	1416,2,2
3	8	1	32471	1	-268756043	6006	6006
3	8	1	32530	1	-268756619	8881	8881
3	8	1	32536	1	-268756691	5504	2752,2
3	8	1	32582	1	-268757139	4448	556,2,2,2
3	8	1	32652	4	-268757835	3024	756,2,2
3	8	1	32727	1	-268758571	2536	2536
3	8	1	32846	1	-268759739	9218	9218
3	8	1	32924	1	-268760499	4992	1248,2,2
3	8	1	32943	2	-268760683	2258	2258
3	8	1	32975	1	-268761003	3264	816,2,2
3	8	1	32997	1	-268761211	3288	1644,2
3	8	1	33042	1	-268761667	2025	2025
3	8	1	33184	1	-268763051	5976	1992,3
3	8	1	33276	2	-268763979	4016	502,2,2,2
3	8	1	33281	1	-268764027	2400	300,2,2,2
3	8	1	33349	1	-268764691	4038	4038
3	8	1	33370	1	-268764899	6456	1614,2,2
3	8	1	33405	2	-268765235	4104	684,6
3	8	1	33407	1	-268765251	5832	2916,2
3	8	1	33423	1	-268765403	3882	3882
3	8	1	33500	1	-268766179	3036	3036
3	8	1	33573	1	-268766915	6080	1520,2,2
3	8	1	33576	1	-268766939	6712	6712
3	8	1	33616	1	-268767339	4262	4262
3	8	1	33663	1	-268767795	3616	904,2,2
3	8	1	33693	2	-268768083	3724	3724
3	8	1	33758	1	-268768731	5072	634,2,2,2
3	8	1	33862	1	-268769731	4538	4538
3	8	1	33913	1	-268770235	2566	2566
3	8	1	33984	1	-268770947	3559	3559
3	8	1	33991	1	-268771011	4276	2138,2
3	8	1	34018	1	-268771267	2068	2068
3	8	1	34032	1	-268771403	6092	6092
3	8	1	34055	1	-268771619	6696	3348,2
3	8	1	34092	1	-268771979	6052	3026,2
3	8	1	34138	1	-268772443	1634	1634
3	8	1	34166	1	-268772739	3638	3638
3	8	1	34196	1	-268773035	5226	5226
3	8	1	34199	1	-268773059	5300	2650,2
3	8	1	34274	1	-268773811	3184	3184
3	8	1	34366	1	-268774707	2848	712,4
3	8	1	34372	1	-268774763	4272	4272
3	8	1	34404	1	-268775051	9432	4716,2
3	8	1	34487	2	-268775915	4600	2300,2
3	8	1	34525	1	-268776299	7140	3570,2
3	8	1	34597	1	-268777003	3242	3242
3	8	1	34620	1	-268777227	3456	432,8
3	8	1	34733	1	-268778355	4480	280,4,2,2
3	8	1	34832	1	-268779315	5184	648,2,2,2
3	8	1	34875	1	-268779747	2740	2740
3	8	1	35053	1	-268781523	3764	1882,2
3	8	1	35085	1	-268781827	2623	2623
3	8	1	35127	1	-268782235	2414	2414
3	8	1	35176	1	-268782715	2832	354,2,2,2
3	8	1	35177	2	-268782731	8064	4032,2
3	8	1	35192	3	-268782883	2517	2517
3	8	1	35199	2	-268782947	4067	4067
3	8	1	35258	1	-268783531	3081	3081
3	8	1	35312	1	-268784059	4020	2010,2
3	8	1	35353	1	-268784467	2184	546,2,2
3	8	1	35357	1	-268784507	4950	4950
3	8	1	35360	1	-268784539	3200	200,8,2
3	8	1	35415	2	-268785083	5040	2520,2
3	8	1	35475	1	-268785651	4032	2016,2
3	8	1	35594	1	-268786819	2752	688,2,2
3	8	1	35604	1	-268786931	8412	8412
3	8	1	35612	1	-268787003	3744	3744
3	8	1	35630	2	-268787195	7404	3702,2
3	8	1	35636	2	-268787251	4484	4484
3	8	1	35653	1	-268787419	3501	3501
3	8	1	35661	2	-268787499	3632	454,2,2,2
3	8	1	35685	1	-268787747	4530	4530
3	8	1	35696	1	-268787859	4942	4942
3	8	1	35716	2	-268788059	4749	4749
3	8	1	35727	1	-268788171	3164	1582,2
3	8	1	35744	1	-268788331	2392	1196,2
3	8	1	35787	1	-268788755	4680	2340,2
3	8	1	35828	1	-268789163	4632	4632
3	8	1	35835	1	-268789227	2536	634,2,2
3	8	1	35842	1	-268789291	3318	3318
3	8	1	35849	2	-268789355	5852	2926,2
3	8	1	35868	1	-268789547	4116	4116
3	8	1	35870	2	-268789571	5536	5536
3	8	1	35944	1	-268790315	6944	1736,2,2
3	8	1	35965	1	-268790515	2120	530,2,2
3	8	1	35976	1	-268790611	3378	3378
3	8	1	36023	1	-268791099	4042	4042
3	8	1	36311	1	-268793923	2728	2728
3	8	1	36364	1	-268794443	3458	3458
3	8	1	36563	1	-268796395	2736	684,2,2
3	8	1	36592	2	-268796683	1848	1848
3	8	1	36711	1	-268797867	3232	1616,2
3	8	1	36759	1	-268798315	1964	982,2
3	8	1	36772	1	-268798451	7088	7088
3	8	1	36837	1	-268799115	2800	350,2,2,2
3	8	1	36923	1	-268799971	3168	792,2,2
3	8	1	36941	1	-268800139	3926	3926
3	8	1	36987	1	-268800595	2524	1262,2
3	8	1	37003	1	-268800747	3808	952,2,2
3	8	1	37019	1	-268800907	1756	1756
3	8	1	37043	1	-268801147	2676	2676
3	8	1	37073	1	-268801459	3936	984,4
3	8	1	37127	1	-268801987	2976	744,2,2
3	8	1	37144	1	-268802155	3316	1658,2
3	8	1	37196	3	-268802683	2112	1056,2
3	8	1	37228	1	-268802987	4466	4466
3	8	1	37401	1	-268804699	2544	2544
3	8	1	37421	1	-268804891	3162	3162
3	8	1	37426	1	-268804939	3196	1598,2
3	8	1	37455	1	-268805227	1872	1872
3	8	1	37456	1	-268805235	4932	822,6
3	8	1	37506	1	-268805739	3132	3132
3	8	1	37565	2	-268806347	6510	6510
3	8	1	37688	1	-268807539	4128	516,2,2,2
3	8	1	37801	1	-268808627	6464	3232,2
3	8	1	37841	1	-268809019	4472	2236,2
3	8	1	37891	1	-268809523	2261	2261
3	8	1	37895	1	-268809555	3712	232,2,2,2,2
3	8	1	37904	1	-268809635	10314	10314
3	8	1	37927	3	-268809883	3333	3333
3	8	1	37930	1	-268809907	1441	1441
3	8	1	37947	1	-268810067	3243	3243
3	8	1	38003	1	-268810643	5058	1686,3
3	8	1	38016	1	-268810779	7160	7160
3	8	1	38020	1	-268810819	4207	4207
3	8	1	38029	1	-268810899	3312	828,2,2
3	8	1	38050	1	-268811115	4344	2172,2
3	8	1	38061	1	-268811211	2816	704,2,2
3	8	1	38130	3	-268811891	8019	8019
3	8	1	38161	2	-268812195	2600	650,2,2
3	8	1	38167	2	-268812251	4356	4356
3	8	1	38275	1	-268813315	2328	1164,2
3	8	1	38314	1	-268813699	3304	1652,2
3	8	1	38415	2	-268814699	7272	2424,3
3	8	1	38581	1	-268816339	2558	2558
3	8	1	38669	2	-268817219	6272	3136,2
3	8	1	38706	2	-268817579	9095	9095
3	8	1	38712	1	-268817627	3658	3658
3	8	1	38724	1	-268817747	3048	1524,2
3	8	1	38817	2	-268818659	4814	4814
3	8	1	38865	1	-268819139	6641	6641
3	8	1	38891	1	-268819395	3352	838,2,2
3	8	1	38968	2	-268820171	5637	5637
3	8	1	38979	1	-268820267	3760	3760
3	8	1	39122	1	-268821699	6522	6522
3	8	1	39124	1	-268821723	3056	1528,2
3	8	1	39147	2	-268821971	8966	8966
3	8	1	39248	2	-268822979	10310	10310
3	8	1	39258	1	-268823067	2012	1006,2
3	8	1	39279	2	-268823283	2094	2094
3	8	1	39326	1	-268823731	3124	1562,2
3	8	1	39373	1	-268824187	1969	1969
3	8	1	39402	1	-268824459	4444	2222,2
3	8	1	39409	1	-268824531	4936	2468,2
3	8	1	39440	1	-268824859	3448	1724,2
3	8	1	39451	1	-268824963	2960	740,2,2
3	8	1	39501	1	-268825451	6468	6468
3	8	1	39553	1	-268825971	3132	1566,2
3	8	1	39656	1	-268826987	3948	1974,2
3	8	1	39674	1	-268827163	2424	1212,2
3	8	1	39688	1	-268827307	1876	938,2
3	8	1	39689	1	-268827315	2832	1416,2
3	8	1	39737	1	-268827771	3780	1890,2
3	8	1	39808	1	-268828467	4452	2226,2
3	8	1	39839	1	-268828787	5819	5819
3	8	1	39853	1	-268828915	2568	1284,2
3	8	1	39918	1	-268829563	1907	1907
3	8	1	39968	1	-268830043	2797	2797
4	16	3	30	2	-805306948	8032	2008,4
4	16	3	101	1	-805308324	11656	2914,2,2
4	16	3	162	1	-805309588	7016	1754,2,2
4	16	3	357	2	-805313428	8202	8202
4	16	3	363	1	-805313540	13552	6776,2
4	16	3	433	1	-805314948	5696	1424,2,2
4	16	3	467	3	-805315604	14908	7454,2
4	16	3	478	1	-805315812	7344	918,2,2,2
4	16	3	494	2	-805316116	9488	2372,2,2
4	16	3	522	1	-805316676	11268	1878,6
4	16	3	595	1	-805318148	13800	6900,2
4	16	3	636	1	-805318964	18696	4674,2,2
4	16	3	730	1	-805320820	8776	4388,2
4	16	3	746	1	-805321124	18192	9096,2
4	16	3	856	2	-805323364	12160	6080,2
4	16	3	870	2	-805323652	5072	1268,2,2
4	16	3	935	1	-805324852	7028	3514,2
4	16	3	974	1	-805325620	5888	1472,2,2
4	16	3	1034	1	-805326884	18312	18312
4	16	3	1084	1	-805327876	9232	4616,2
4	16	3	1142	1	-805329028	5528	2764,2
4	16	3	1153	1	-805329220	7848	3924,2
4	16	3	1181	1	-805329764	14940	14940
4	16	3	1207	2	-805330276	6568	1642,2,2
4	16	3	1216	1	-805330452	10432	652,4,2,2
4	16	3	1246	1	-805331060	14312	3578,2,2
4	16	3	1249	1	-805331108	14624	1828,4,2
4	16	3	1305	1	-805332228	9232	1154,2,2,2
4	16	3	1318	1	-805332468	7600	1900,2,2
4	16	3	1375	1	-805333556	19088	9544,2
4	16	3	1377	1	-805333604	21416	10708,2
4	16	3	1450	1	-805335060	12488	3122,2,2
4	16	3	1529	2	-805336612	5600	700,4,2
4	16	3	1547	1	-805336964	20760	5190,2,2
4	16	3	1593	2	-805337908	5028	2514,2
4	16	3	1596	1	-805337956	7848	7848
4	16	3	1632	1	-805338660	7168	224,4,2,2,2
4	16	3	1660	1	-805339172	10528	1316,2,2,2
4	16	3	1663	1	-805339236	8976	1122,2,2,2
4	16	3	1714	1	-805340260	7160	3580,2
4	16	3	1784	1	-805341620	16352	8176,2
4	16	3	1829	1	-805342484	14686	14686
4	16	3	1887	2	-805343668	9020	4510,2
4	16	3	1932	1	-805344548	9384	9384
4	16	3	1943	1	-805344772	4428	2214,2
4	16	3	1956	1	-805345044	14608	1826,2,2,2
4	16	3	2047	1	-805346788	4488	2244,2
4	16	3	2110	1	-805348036	9808	2452,2,2
4	16	3	2180	1	-805349460	9080	2270,2,2
4	16	3	2220	1	-805350212	12912	6456,2
4	16	3	2229	1	-805350372	5936	1484,2,2
4	16	3	2261	2	-805351012	4056	1014,2,2
4	16	3	2270	1	-805351172	13248	1104,12
4	16	3	2283	2	-805351444	8180	4090,2
4	16	3	2310	1	-805351972	5940	5940
4	16	3	2390	1	-805353524	23124	11562,2
4	16	3	2403	1	-805353796	6960	870,2,2,2
4	16	3	2408	2	-805353892	5720	2860,2
4	16	3	2418	2	-805354116	11184	1398,2,2,2
4	16	3	2455	1	-805354836	13088	1636,2,2,2
4	16	3	2470	1	-805355124	11824	1478,2,2,2
4	16	3	2508	1	-805355876	21480	5370,2,2
4	16	3	2527	1	-805356244	11296	2824,2,2
4	16	3	2555	1	-805356788	9028	4514,2
4	16	3	2585	1	-805357396	10628	5314,2
4	16	3	2677	2	-805359220	6608	826,2,2,2
4	16	3	2698	1	-805359604	6712	1678,2,2
4	16	3	2724	1	-805360132	5728	1432,4
4	16	3	2747	1	-805360580	16392	8196,2
4	16	3	2781	1	-805361268	14008	3502,2,2
4	16	3	2844	1	-805362468	5776	1444,2,2
4	16	3	2920	1	-805364036	15216	3804,2,2
4	16	3	2952	1	-805364644	6656	416,4,2,2
4	16	3	2977	1	-805365156	9728	1216,2,2,2
4	16	3	3023	1	-805366052	11496	11496
4	16	3	3033	1	-805366244	13656	3414,2,2
4	16	3	3034	2	-805366276	7088	886,2,2,2
4	16	3	3048	2	-805366564	8400	8400
4	16	3	3090	1	-805367380	7152	3576,2
4	16	3	3108	2	-805367716	16248	16248
4	16	3	3148	1	-805368532	5170	5170
4	16	3	3219	1	-805369924	8976	4488,2
4	16	3	3261	1	-805370772	6300	630,10
4	16	3	3335	2	-805372244	23624	5906,2,2
4	16	3	3348	3	-805372516	6672	3336,2
4	16	3	3360	1	-805372772	13620	13620
4	16	3	3526	1	-805375988	12656	6328,2
4	16	3	3590	1	-805377268	5208	2604,2
4	16	3	3634	1	-805378164	16296	8148,2
4	16	3	3704	1	-805379540	12624	3156,2,2
4	16	3	3738	1	-805380196	8532	4266,2
4	16	3	3803	1	-805381492	5234	5234
4	16	3	3816	1	-805381764	13168	1646,2,2,2
4	16	3	3826	1	-805381940	17416	4354,2,2
4	16	3	3853	1	-805382468	7572	3786,2
4	16	3	3903	1	-805383460	5848	1462,2,2
4	16	3	4004	1	-805385492	8980	4490,2
4	16	3	4019	1	-805385780	16112	8056,2
4	16	3	4096	1	-805387332	7112	1778,2,2
4	16	3	4172	1	-805388756	17496	8748,2
4	16	3	4207	1	-805389412	6128	1532,2,2
4	16	3	4215	2	-805389572	9344	1168,2,2,2
4	16	3	4302	3	-805391332	4292	4292
4	16	3	4328	1	-805391828	14784	1848,2,2,2
4	16	3	4372	1	-805392724	9174	9174
4	16	3	4377	1	-805392820	5128	1282,2,2
4	16	3	4391	1	-805393076	13278	13278
4	16	3	4421	1	-805393684	9288	2322,2,2
4	16	3	4430	1	-805393860	10032	2508,2,2
4	16	3	4509	1	-805395428	10936	5468,2
4	16	3	4593	1	-805397060	16896	2112,2,2,2
4	16	3	4624	2	-805397668	5928	2964,2
4	16	3	4727	1	-805399764	7968	498,2,2,2,2
4	16	3	4768	1	-805400580	12224	764,2,2,2,2
4	16	3	4873	1	-805402644	9936	4968,2
4	16	3	4984	1	-805404788	12472	3118,2,2
4	16	3	5012	1	-805405348	7320	1830,2,2
4	16	3	5027	1	-805405636	12600	6300,2
4	16	3	5043	1	-805405956	15360	3840,2,2
4	16	3	5073	1	-805406564	18496	9248,2
4	16	3	5153	1	-805408132	5864	2932,2
4	16	3	5166	1	-805408372	5964	2982,2
4	16	3	5267	1	-805410356	16610	16610
4	16	3	5399	1	-805412996	19200	19200
4	16	3	5513	3	-805415236	8208	4104,2
4	16	3	5542	2	-805415812	5156	5156
4	16	3	5744	1	-805419812	10048	2512,2,2
4	16	3	5859	1	-805422036	11408	1426,2,2,2
4	16	3	5869	1	-805422260	10688	1336,2,2,2
4	16	3	5915	2	-805423156	9424	4712,2
4	16	3	6026	1	-805425380	10352	1294,2,2,2
4	16	3	6028	1	-805425412	4552	1138,2,2
4	16	3	6034	1	-805425524	13296	3324,2,2
4	16	3	6050	1	-805425828	6224	1556,2,2
4	16	3	6059	1	-805426004	16028	8014,2
4	16	3	6107	1	-805426980	9152	572,2,2,2,2
4	16	3	6116	1	-805427140	5992	1498,2,2
4	16	3	6183	1	-805428452	12936	12936
4	16	3	6197	1	-805428740	13248	3312,2,2
4	16	3	6206	2	-805428916	9672	4836,2
4	16	3	6226	2	-805429284	9408	588,4,2,2
4	16	3	6261	1	-805429956	8212	4106,2
4	16	3	6299	2	-805430708	15710	15710
4	16	3	6306	1	-805430868	5584	1396,2,2
4	16	3	6449	2	-805433716	14424	3606,2,2
4	16	3	6475	2	-805434244	11440	2860,2,2
4	16	3	6538	1	-805435492	5472	2736,2
4	16	3	6557	1	-805435908	7360	920,2,2,2
4	16	3	6569	1	-805436132	8992	2248,4
4	16	3	6611	1	-805436948	10784	2696,2,2
4	16	3	6614	1	-805437012	8288	2072,2,2
4	16	3	6654	1	-805437796	6864	3432,2
4	16	3	6697	1	-805438660	6720	1680,2,2
4	16	3	6708	1	-805438884	15736	3934,2,2
4	16	3	6726	1	-805439252	11510	11510
4	16	3	6763	1	-805439956	12792	6396,2
4	16	3	6782	1	-805440340	8216	2054,2,2
4	16	3	6798	1	-805440660	9600	1200,2,2,2
4	16	3	6799	1	-805440676	12768	6384,2
4	16	3	6807	1	-805440820	6640	3320,2
4	16	3	6868	1	-805442068	4860	2430,2
4	16	3	6874	1	-805442196	12512	782,2,2,2,2
4	16	3	6931	1	-805443284	16776	4194,2,2
4	16	3	6938	1	-805443428	13664	13664
4	16	3	7016	1	-805444996	7408	7408
4	16	3	7021	1	-805445108	13808	1726,2,2,2
4	16	3	7078	1	-805446212	11724	11724
4	16	3	7102	1	-805446708	9184	574,2,2,2,2
4	16	3	7172	1	-805448020	5984	748,2,2,2
4	16	3	7187	1	-805448372	10060	5030,2
4	16	3	7243	1	-805449460	7296	912,2,2,2
4	16	3	7247	1	-805449540	7328	916,2,2,2
4	16	3	7295	1	-805450484	17388	8694,2
4	16	3	7296	2	-805450516	11772	5886,2
4	16	3	7437	1	-805453332	11264	2816,2,2
4	16	3	7457	1	-805453732	6024	6024
4	16	3	7473	1	-805454036	14520	7260,2
4	16	3	7529	1	-805455092	10428	5214,2
4	16	3	7547	1	-805455460	11280	5640,2
